2016/02/17 23:11:48 [error] 4933#0: *119 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting ';' in /raid/vugluskr/projects/_autoservice/app/auth.php on line 31" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:12:05 [error] 5548#0: *1 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting ';' in /raid/vugluskr/projects/_autoservice/app/auth.php on line 31" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:12:06 [error] 5548#0: *1 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting ';' in /raid/vugluskr/projects/_autoservice/app/auth.php on line 31" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:12:06 [error] 5548#0: *1 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting ';' in /raid/vugluskr/projects/_autoservice/app/auth.php on line 31" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:12:06 [error] 5548#0: *1 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting ';' in /raid/vugluskr/projects/_autoservice/app/auth.php on line 31" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:12:06 [error] 5548#0: *1 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting ';' in /raid/vugluskr/projects/_autoservice/app/auth.php on line 31" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:12:07 [error] 5548#0: *1 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting ';' in /raid/vugluskr/projects/_autoservice/app/auth.php on line 31" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:12:07 [error] 5548#0: *1 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting ';' in /raid/vugluskr/projects/_autoservice/app/auth.php on line 31" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:12:07 [error] 5548#0: *1 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting ';' in /raid/vugluskr/projects/_autoservice/app/auth.php on line 31" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:16:21 [error] 5548#0: *46 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Cannot redeclare class SimpleOrm in /raid/vugluskr/projects/_autoservice/app/SimpleOrm.class.php on line 10" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:16:21 [error] 5548#0: *46 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Cannot redeclare class SimpleOrm in /raid/vugluskr/projects/_autoservice/app/SimpleOrm.class.php on line 10" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:32:27 [error] 5548#0: *84 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/raid/vugluskr/projects/_autoservice/app/../logs/app.log): failed to open stream: Permission denied in /raid/vugluskr/projects/_autoservice/app/Logger.php on line 54" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:32:27 [error] 5548#0: *84 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/raid/vugluskr/projects/_autoservice/app/../logs/app.log): failed to open stream: Permission denied in /raid/vugluskr/projects/_autoservice/app/Logger.php on line 54" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:32:27 [error] 5548#0: *84 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/raid/vugluskr/projects/_autoservice/app/../logs/app.log): failed to open stream: Permission denied in /raid/vugluskr/projects/_autoservice/app/Logger.php on line 54" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:32:27 [error] 5548#0: *84 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/raid/vugluskr/projects/_autoservice/app/../logs/app.log): failed to open stream: Permission denied in /raid/vugluskr/projects/_autoservice/app/Logger.php on line 54" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:34:19 [error] 5548#0: *84 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/raid/vugluskr/projects/_autoservice/app/app.log): failed to open stream: Permission denied in /raid/vugluskr/projects/_autoservice/app/Logger.php on line 54" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:34:19 [error] 5548#0: *84 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/raid/vugluskr/projects/_autoservice/app/app.log): failed to open stream: Permission denied in /raid/vugluskr/projects/_autoservice/app/Logger.php on line 54" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:34:20 [error] 5548#0: *84 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/raid/vugluskr/projects/_autoservice/app/app.log): failed to open stream: Permission denied in /raid/vugluskr/projects/_autoservice/app/Logger.php on line 54" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:39:24 [error] 5548#0: *154 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:39:37 [error] 5548#0: *166 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:39:37 [error] 5548#0: *154 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:39:42 [error] 5548#0: *154 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:39:44 [error] 5548#0: *171 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:39:45 [error] 5548#0: *172 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 23:41:33 [error] 5548#0: *186 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /raid/vugluskr/projects/_autoservice/app/auth.php on line 53" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:41:34 [error] 5548#0: *186 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /raid/vugluskr/projects/_autoservice/app/auth.php on line 53" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:41:37 [error] 5548#0: *186 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /raid/vugluskr/projects/_autoservice/app/auth.php on line 53" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:41:38 [error] 5548#0: *188 FastCGI sent in stderr: "PHP message: PHP Warning:  include(/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php): failed to open stream: No such file or directory in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4
PHP message: PHP Warning:  include(): Failed opening '/raid/vugluskr/projects/_autoservice/public_html/api/../app/auth.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /raid/vugluskr/projects/_autoservice/public_html/api/events.php on line 4" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
